name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,73752.0,1475336920349,1,57649150951.0,0.56965,3.7934664129065565,4.796360129646498,2026-03-17
Ethereum,ETH,2310.26,278881714563,2,34988315282.0,2.04963,11.696015341816414,11.751153067298121,2026-03-17
Tether,USDT,1.0,184072934581,3,101434702792.0,0.00155,0.0029846858707397346,0.030454182238893346,2026-03-17
XRP,XRP,1.51,92474136543,4,4929576907.0,2.78277,6.603793299871059,-5.237124369876609,2026-03-17
BNB,BNB,669.66,91327088105,5,1418448703.0,-0.98661,3.4163657020286773,6.226936346449378,2026-03-17
USDC,USDC,0.999955,79349338309,6,11178365245.0,0.00534,0.0024303577736411123,0.00963670802049488,2026-03-17
Solana,SOL,93.56,53473827561,7,5821880864.0,0.04969,7.252822849466719,4.026476734500849,2026-03-17
TRON,TRX,0.301198,28536757878,8,537715302.0,1.00181,5.440268367979888,7.128293155597013,2026-03-17
Figure Heloc,FIGR_HELOC,1.027,16265452266,9,13791292.0,0.91783,-1.4324712493316436,0.6598588743856202,2026-03-17
Dogecoin,DOGE,0.100242,15381579533,10,1942608892.0,-0.09088,5.405264531131384,-12.429806827576044,2026-03-17
WhiteBIT Coin,WBT,57.89,12354235957,11,85998155.0,0.50857,2.7510417750590883,9.993620218802823,2026-03-17
USDS,USDS,0.999917,11260716087,12,22670823.0,-0.00602,-0.011883421165411844,0.006803588212812284,2026-03-17
Cardano,ADA,0.286268,10546202342,13,754678191.0,0.11001,7.228310504508305,-3.093791944807961,2026-03-17
Hyperliquid,HYPE,40.9,9745956832,14,501553269.0,4.45133,17.161052188783486,32.22010787167265,2026-03-17
Bitcoin Cash,BCH,473.49,9473888568,15,232358607.0,0.1763,5.112109417336265,-15.47199801610584,2026-03-17
LEO Token,LEO,9.05,8338693637,16,1183747.0,0.57048,-0.6601213547602892,7.761984423499777,2026-03-17
Chainlink,LINK,9.75,6906620022,17,579483438.0,1.14916,7.397889387748427,6.968235187521808,2026-03-17
Monero,XMR,371.63,6855288262,18,101693913.0,1.33397,8.097333218624511,7.099131639778148,2026-03-17
Ethena USDe,USDE,0.999922,5919095962,19,92167869.0,0.0291,0.02783576840144621,0.09818780642950682,2026-03-17
