name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,66207.0,1324730591383,1,42700942789.0,-2.23407,-6.198191178662836,-2.575210902349326,2026-03-28
Ethereum,ETH,1996.62,240916303113,2,16170397907.0,-2.22133,-7.28890183843252,-2.8043319284381916,2026-03-28
Tether,USDT,0.999346,184095196855,3,64944669731.0,-0.00041,-0.04225734892508629,-0.06598503155099804,2026-03-28
BNB,BNB,611.56,83373052817,4,957741142.0,-1.19738,-4.89496773066874,-2.382598607512901,2026-03-28
XRP,XRP,1.34,82190708866,5,2211537497.0,-0.51267,-7.093801385816333,-7.78166677028774,2026-03-28
USDC,USDC,0.999835,77764534219,6,9502697150.0,0.00339,0.0027228245167386467,0.0025621110210509858,2026-03-28
Solana,SOL,82.96,47494016324,7,2995649761.0,-2.3921,-7.780632839967759,-5.076882037038681,2026-03-28
TRON,TRX,0.311183,29492869822,8,683679277.0,-0.88967,0.6742686695192829,8.7547043222055,2026-03-28
Figure Heloc,FIGR_HELOC,1.03,16727580518,9,16671298.0,1.19208,2.7435887490506383,-0.0876051552749208,2026-03-28
Dogecoin,DOGE,0.091615,14069533558,10,855610471.0,0.66424,-2.939866054447953,-8.065619595753619,2026-03-28
USDS,USDS,0.99974,11427677698,11,35322092.0,-0.00156,-0.027991699124317343,-0.07316601358577285,2026-03-28
WhiteBIT Coin,WBT,51.33,10963741306,12,54459634.0,-1.44182,-7.080031454936539,1.032556659370431,2026-03-28
Bitcoin Cash,BCH,476.29,9537430531,13,332211514.0,2.17598,1.442394197887461,-4.487136815426738,2026-03-28
Hyperliquid,HYPE,39.41,9404362441,14,220898699.0,1.84523,-0.2666851330907438,39.68983784524587,2026-03-28
Cardano,ADA,0.248376,9154882038,15,496176986.0,-1.04092,-6.3316523542658825,-15.739978155860193,2026-03-28
LEO Token,LEO,9.58,8825657131,16,465149.0,0.2966,4.435159453418144,8.980378805826602,2026-03-28
Chainlink,LINK,8.53,6045276654,17,310158764.0,-2.73949,-6.65885338001462,-7.20999682022046,2026-03-28
Monero,XMR,326.57,6015232972,18,73092359.0,-1.16571,-6.659577905449038,-6.00072183761512,2026-03-28
Ethena USDe,USDE,0.99901,5903045262,19,124868866.0,-0.00426,-0.09332153222796678,-0.02022930031031198,2026-03-28
Canton,CC,0.148649,5670251255,20,10690872.0,1.20426,0.6330660577116688,-14.935582697291455,2026-03-28
Stellar,XLM,0.166593,5506554568,21,108737829.0,-2.94156,0.7173514102021336,1.7333791718494866,2026-03-28
USD1,USD1,0.999395,4400902470,22,1195979446.0,-0.00699,-0.011768494600870429,-0.01979580258913855,2026-03-28
Dai,DAI,0.999887,4305731803,23,408121479.0,-0.00439,-0.005970218042558055,0.01259001770375078,2026-03-28
Litecoin,LTC,53.94,4154080585,24,359928842.0,-0.87697,-4.368362859673391,-3.7252593373427234,2026-03-28
