name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,66423.0,1328952473357,1,21204088159.0,-0.78937,-2.579156058090018,1.7200197975657945,2026-03-29
Ethereum,ETH,1995.94,240996897868,2,7877385103.0,-1.398,-3.5691373054350115,4.086848220984045,2026-03-29
Tether,USDT,0.999219,184071180370,3,32779424640.0,-0.00058,-0.06718729857954694,-0.07219735630670614,2026-03-29
BNB,BNB,609.79,83145599329,4,589488810.0,-1.24992,-3.0900802894128296,-0.0649896451910516,2026-03-29
XRP,XRP,1.32,80925939742,5,1157893164.0,-1.94457,-4.906689033066745,-2.7969191196390377,2026-03-29
USDC,USDC,0.999761,77717128111,6,3140539065.0,0.00183,-0.02219482692398365,-0.01626219854920541,2026-03-29
Solana,SOL,81.7,46774116038,7,1684266234.0,-2.02292,-6.031453942023908,0.2656951323044866,2026-03-29
TRON,TRX,0.322833,30498710511,8,503976674.0,1.80604,1.4779082175090394,14.33348327289608,2026-03-29
Figure Heloc,FIGR_HELOC,1.019,16560848759,9,1400009.0,0.0,1.8704400000000065,-2.572115642105035,2026-03-29
Dogecoin,DOGE,0.090738,13935720420,10,646518523.0,-1.62816,-0.008610249788408492,-2.8491930097829417,2026-03-29
USDS,USDS,0.999705,11637872340,11,11203447.0,0.00923,-0.10411774678736971,-0.011693020072937444,2026-03-29
WhiteBIT Coin,WBT,51.29,10939854619,12,25707319.0,-0.92731,-3.97024701932496,5.303535935393668,2026-03-29
Hyperliquid,HYPE,38.63,9203616261,13,111427775.0,-3.16797,1.369260029302312,41.7907066429247,2026-03-29
Bitcoin Cash,BCH,453.92,9088951886,14,408362875.0,-6.00491,-2.6808351706084017,-2.0338251775877567,2026-03-29
LEO Token,LEO,9.66,8892649433,15,381823.0,0.72663,4.649670227388321,9.758403160960903,2026-03-29
Cardano,ADA,0.240375,8858916182,16,412895223.0,-3.96645,-5.083166881850814,-13.21933041733884,2026-03-29
Monero,XMR,327.27,6035286856,17,71176039.0,-1.15416,-8.469184003139858,-2.6861652027358183,2026-03-29
Chainlink,LINK,8.43,5965774105,18,238261992.0,-2.10349,-3.7736240558995293,-2.8617173123577184,2026-03-29
Ethena USDe,USDE,0.99897,5883043714,19,38827467.0,-0.01859,-0.06217822841625599,-0.03960470586295676,2026-03-29
Canton,CC,0.149678,5716785850,20,9072778.0,-4.46242,5.02544087131421,-11.842654560641114,2026-03-29
Stellar,XLM,0.164339,5427830879,21,87219948.0,-3.97119,4.401511630594376,3.892784898165966,2026-03-29
USD1,USD1,0.999315,4395500228,22,551124734.0,-0.02529,-0.03997673499578965,-0.05206295057326514,2026-03-29
Dai,DAI,0.999646,4323828875,23,364330191.0,-0.01431,-0.019476807432637685,-0.04508730459749518,2026-03-29
Litecoin,LTC,53.37,4109022848,24,282921610.0,-1.49084,-1.1268832521519287,-1.4262259031136473,2026-03-29
Rain,RAIN,0.00840173,4018118315,25,30253551.0,1.3087,-3.0536663002113458,-9.506940672197176,2026-03-29
PayPal USD,PYUSD,0.999568,3867863941,26,33351530.0,-0.01191,-0.015090293653053718,-0.027613854375651344,2026-03-29
Hedera,HBAR,0.0883,3823466161,27,42920987.0,-2.76598,-1.0070418882779941,-11.606183458933181,2026-03-29
Avalanche,AVAX,8.62,3723338764,28,211604835.0,-3.03777,-4.53121471991617,-3.514057833384634,2026-03-29
MemeCore,M,2.1,3707668000,29,11565047.0,-5.03411,24.341598508329056,47.15201696927238,2026-03-29
Zcash,ZEC,217.95,3624414213,30,146358814.0,-0.03053,-0.5255897780583935,-0.7099204960917093,2026-03-29
Shiba Inu,SHIB,5.78e-06,3407729497,31,79049666.0,-2.64251,0.8844835701867692,0.37123036755835215,2026-03-29
Sui,SUI,0.840786,3279155726,32,296469351.0,-5.12406,-8.143627136482095,-6.316838475068108,2026-03-29
Bittensor,TAO,317.11,3042076002,33,198288158.0,-1.05516,19.524167374435386,79.61320407500122,2026-03-29
Toncoin,TON,1.22,3016096619,34,54682422.0,-2.02612,-2.485105695757613,-5.3003981072279025,2026-03-29
Cronos,CRO,0.07028,2973303132,35,16351592.0,-2.70072,-5.240181604006809,-6.897782346323843,2026-03-29
World Liberty Financial,WLFI,0.098517,2817890150,36,35527153.0,-0.4684,1.0675351923232543,-11.41906388194326,2026-03-29
Circle USYC,USYC,1.12,2626593159,37,223858.0,,0.04424765826756677,0.21580489529346422,2026-03-29
Tether Gold,XAUT,4496.19,2516039174,38,177207771.0,0.14408,0.11965191329298575,-14.082510267524977,2026-03-29
PAX Gold,PAXG,4513.78,2320659982,39,88919521.0,0.24647,0.4638701900556758,-14.19950230919044,2026-03-29
Mantle,MNT,0.675349,2214103301,40,21724382.0,-0.78157,-5.805296017239234,7.030427163649271,2026-03-29
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2169130946,41,0.0,0.0,0.0,0.0,2026-03-29
Uniswap,UNI,3.36,2130621325,42,101771729.0,-2.40442,-2.6150965742323162,-10.129076240533223,2026-03-29
Polkadot,DOT,1.25,2102585414,43,220919716.0,-2.34573,-12.14281272078907,-21.97359692618317,2026-03-29
Global Dollar,USDG,0.999821,1806483496,44,18305488.0,0.00691,-0.012630685830052044,-0.0174087280334634,2026-03-29
Pi Network,PI,0.177583,1770819565,45,15148186.0,-1.78779,-6.236905977072492,4.466109733499446,2026-03-29
OKB,OKB,83.92,1762195381,46,14971349.0,-0.16458,-0.5760212234702543,10.16091411733935,2026-03-29
Falcon USD,USDF,0.998272,1746136838,47,459089.0,0.03269,0.07241537526808843,0.08095136940062952,2026-03-29
Sky,SKY,0.071386,1653090148,48,8865129.0,0.93755,-2.0698677910259247,6.197220211067214,2026-03-29
Aster,ASTER,0.659719,1620535334,49,51149122.0,-0.42468,-1.0272433984221008,-4.254003394398491,2026-03-29
HTX DAO,HTX,1.73e-06,1581517422,50,15095304.0,0.49306,-0.12269665299415194,7.796761041005265,2026-03-29
