name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,68171.0,1360424621201,1,32465849533.0,-1.12398,-8.073149867561082,0.5892685646723469,2026-03-23
Ethereum,ETH,2044.5,246843444789,2,14658295518.0,-2.58946,-10.478171397360532,4.194032548237314,2026-03-23
Tether,USDT,0.999694,184127181360,3,52323955655.0,-0.0089,-0.032508735761527435,-0.0022832365723126106,2026-03-23
BNB,BNB,624.36,85001771083,4,943520302.0,-1.31922,-8.930842363113255,-0.20166725859934084,2026-03-23
XRP,XRP,1.37,83840673986,5,1924546373.0,-2.74029,-7.53652042111969,-4.100011008564366,2026-03-23
USDC,USDC,0.999997,78904440804,6,4299065621.0,0.00964,0.006775792255939922,0.003289346618719505,2026-03-23
Solana,SOL,85.69,48941925977,7,2670193810.0,-2.60867,-8.89959198938137,1.9004009332686387,2026-03-23
TRON,TRX,0.306488,29056783386,8,746557943.0,-1.16152,2.7456925623262283,7.653469233332958,2026-03-23
Figure Heloc,FIGR_HELOC,1.0,15843541913,9,296306884.0,,-0.2751110511432115,-3.4290415911803764,2026-03-23
Dogecoin,DOGE,0.09031,13839845962,10,752583778.0,-1.49059,-11.09783436677725,-9.56798346393873,2026-03-23
USDS,USDS,0.999905,11658568316,11,6400562.0,-0.00141,0.015234328529209747,-0.005078502075631081,2026-03-23
WhiteBIT Coin,WBT,53.37,11389626557,12,53679446.0,-2.04242,-7.9369673992391405,5.49897786267151,2026-03-23
Bitcoin Cash,BCH,465.27,9305346552,13,171316339.0,-0.22941,-1.7573440342031164,-17.385011708798462,2026-03-23
Cardano,ADA,0.249328,9170377669,14,413098300.0,-3.43653,-13.46708152405697,-11.45448740948404,2026-03-23
Hyperliquid,HYPE,37.52,8930437246,15,277031626.0,-1.98425,-2.2801826999664967,24.123458533575675,2026-03-23
LEO Token,LEO,9.31,8576746160,16,612077.0,0.89443,2.676433819463621,7.371807533373182,2026-03-23
Monero,XMR,355.76,6562828236,17,89152939.0,3.78764,-1.5734381954965446,7.794855038640135,2026-03-23
Chainlink,LINK,8.64,6097840708,18,315458336.0,-2.73209,-11.524508250360856,-2.793439814382555,2026-03-23
Ethena USDe,USDE,0.999451,5917052389,19,93442574.0,-0.02416,-0.049876668918996364,0.031707504738134176,2026-03-23
Canton,CC,0.145967,5558600814,20,6577603.0,1.1568,-3.035838648084694,-9.257526851153516,2026-03-23
Stellar,XLM,0.156649,5164051541,21,94658995.0,-2.6905,-9.051777558510206,-3.1282840468788398,2026-03-23
USD1,USD1,0.99941,4422032043,22,904403879.0,0.00624,0.0070954123949206515,0.02483875222065204,2026-03-23
Dai,DAI,0.999981,4326418160,23,149984808.0,0.00496,-0.01717889064072298,-0.003467349282711231,2026-03-23
Litecoin,LTC,53.52,4117631748,24,307226813.0,-1.97966,-6.9085271728368784,-2.9284574736987405,2026-03-23
PayPal USD,PYUSD,0.999614,4100262212,25,60411740.0,-0.01238,-0.02050301790794189,0.0176348573527306,2026-03-23
Rain,RAIN,0.00850133,4065684731,26,19969275.0,6.39941,-5.2865380117308804,-11.179040623230856,2026-03-23
Avalanche,AVAX,9.01,3889973929,27,222964663.0,-2.46265,-14.077868638369335,-1.9781656704940693,2026-03-23
Hedera,HBAR,0.089213,3857248346,28,75288073.0,-1.81601,-9.536833261397119,-9.773152331639023,2026-03-23
Zcash,ZEC,219.46,3638303819,29,242665765.0,0.1059,-7.023247325073512,-16.083594300252248,2026-03-23
Sui,SUI,0.897699,3498759438,30,338215099.0,-3.86406,-15.76394273286795,-5.406649612386529,2026-03-23
Shiba Inu,SHIB,5.76e-06,3393019905,31,115380677.0,-1.02363,-7.602014819630274,-11.012333510804115,2026-03-23
MemeCore,M,1.78,3119686941,32,8876156.0,6.50931,20.531590834673008,33.46619604639862,2026-03-23
Cronos,CRO,0.073148,3088742019,33,9229160.0,-2.22101,-7.634498967551264,-6.434547800725716,2026-03-23
Toncoin,TON,1.25,3084206396,34,74521666.0,-0.1336,-5.300214058696195,-5.540930109590588,2026-03-23
World Liberty Financial,WLFI,0.097107,2681838997,35,99899796.0,0.68488,-8.85625888020209,-19.179062591437784,2026-03-23
Bittensor,TAO,268.03,2572346826,36,275150640.0,-3.25284,-3.1603279659732615,50.67814779769327,2026-03-23
Circle USYC,USYC,1.12,2450906535,37,111880.0,,-0.044362854533206965,0.3397831883929572,2026-03-23
Tether Gold,XAUT,4220.1,2374669373,38,987347467.0,-6.07383,-15.259748716358072,-17.023456341175784,2026-03-23
Polkadot,DOT,1.41,2366639027,39,123313848.0,-3.31029,-8.478555601175481,4.563712496855913,2026-03-23
Mantle,MNT,0.686139,2246855786,40,59504359.0,-7.00956,-14.555629108833482,8.847037637332035,2026-03-23
Uniswap,UNI,3.47,2200089041,41,158802028.0,-0.59389,-14.53373417635243,-1.8847793788314544,2026-03-23
PAX Gold,PAXG,4205.11,2106434153,42,832946457.0,-6.73301,-16.029187724387935,-17.84124226129403,2026-03-23
Siren,SIREN,2.8,2022960415,43,150788361.0,98.09469,331.746622973681,1103.0534978661817,2026-03-23
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2012853986,44,0.0,0.0,0.0,0.0,2026-03-23
Pi Network,PI,0.191772,1880585058,45,23601849.0,1.34629,-5.29884116712167,9.800647892337938,2026-03-23
Global Dollar,USDG,0.999755,1775662275,46,29141400.0,-0.02206,-0.016654410498180998,-0.029931588076157773,2026-03-23
Falcon USD,USDF,0.99792,1745352421,47,1150514.0,0.01051,0.0697733437389564,0.06103186510531581,2026-03-23
OKB,OKB,83.13,1743691091,48,15709015.0,-1.95392,-15.158871858293086,4.944103671994018,2026-03-23
NEAR Protocol,NEAR,1.26,1631230577,49,110150567.0,-2.56859,-10.686964699611003,18.18628053594755,2026-03-23
Aster,ASTER,0.655944,1610905400,50,160839410.0,-2.12221,-9.597775566696841,-9.355082563864665,2026-03-23
