name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,70376.0,1406074779956,1,45098216184.0,0.44264,-1.3614336981324768,3.7803674191296452,2026-03-20
Ethereum,ETH,2131.69,256732373402,2,23166189554.0,-1.54358,1.616679036529561,6.517036527401827,2026-03-20
Tether,USDT,0.999925,184165431884,3,74905598773.0,-0.00415,-0.004117830315501956,0.03275644167709649,2026-03-20
XRP,XRP,1.45,88674471609,4,2487307618.0,-1.43431,2.342733270813408,-2.2452356236750712,2026-03-20
BNB,BNB,640.98,87372478413,5,1084823143.0,-0.72523,-3.021502274049257,3.9949509088189226,2026-03-20
USDC,USDC,0.999849,79176155414,6,8193943786.0,-0.00524,-0.005680711890245078,-0.010784388942418507,2026-03-20
Solana,SOL,88.77,50738576698,7,3513897364.0,-1.2188,0.21042755675691088,4.486998508787366,2026-03-20
TRON,TRX,0.303147,28736372577,8,529140069.0,-0.13223,4.7596398990377295,7.7748729817147035,2026-03-20
Figure Heloc,FIGR_HELOC,1.002,15871206322,9,331240164.0,-2.27794,-0.6334980140509147,-2.8708455005828726,2026-03-20
Dogecoin,DOGE,0.093923,14425388334,10,944919260.0,-0.5565,-2.791388041118114,-7.150018306997108,2026-03-20
WhiteBIT Coin,WBT,55.15,11768994504,11,76848236.0,-1.66857,-1.1027832266040574,7.073469714865011,2026-03-20
USDS,USDS,0.999915,11486750149,12,10519635.0,-0.00615,-0.0023920511353638344,0.009194598205110155,2026-03-20
Cardano,ADA,0.268929,9918150687,13,438038686.0,-0.64973,-1.2011245546599039,-4.79214646471754,2026-03-20
Hyperliquid,HYPE,39.46,9388477151,14,411762454.0,-3.24735,5.018376619514293,33.8829195474267,2026-03-20
Bitcoin Cash,BCH,463.0,9263854658,15,213419523.0,1.83297,-0.3564097281392999,-18.202344553550294,2026-03-20
LEO Token,LEO,9.21,8478748947,16,643129.0,0.37675,1.5150343294076758,6.817809127172003,2026-03-20
Chainlink,LINK,9.05,6412072082,17,385730837.0,-1.00116,-1.4877765642424954,2.133333230678381,2026-03-20
Monero,XMR,338.78,6250197012,18,80232416.0,-1.89772,-4.659653304263041,0.003680748691995945,2026-03-20
Ethena USDe,USDE,0.999672,5922820486,19,81607535.0,0.05998,-0.012861490498854565,0.051833688643166925,2026-03-20
Stellar,XLM,0.166584,5500101437,20,86016564.0,-0.69323,2.3772574661585613,-0.4738772219021627,2026-03-20
Canton,CC,0.142651,5428989248,21,8093222.0,-2.40215,-3.2218850141341524,-14.38867025935384,2026-03-20
USD1,USD1,0.999586,4445648670,22,2387928376.0,0.03635,0.0654637299587612,0.03875839253539256,2026-03-20
Dai,DAI,1.0,4323885525,23,156231572.0,0.01253,0.011618634739241504,0.005047560513033772,2026-03-20
Litecoin,LTC,55.78,4293554113,24,345883517.0,0.62498,1.2749974425456325,2.771864490240064,2026-03-20
Rain,RAIN,0.00893736,4262444489,25,23326868.0,0.20283,-0.0879927478348071,-6.137915753208881,2026-03-20
Avalanche,AVAX,9.49,4095997757,26,240992780.0,-1.00464,-3.753176788386762,4.940713382720903,2026-03-20
PayPal USD,PYUSD,0.999555,4083824682,27,71253234.0,0.01156,-0.026418476871862665,-0.007637193262298693,2026-03-20
Hedera,HBAR,0.093784,4059994439,28,82216387.0,-0.62701,-3.2461571549370043,-7.817361931146492,2026-03-20
Zcash,ZEC,234.55,3896305141,29,339882013.0,-4.2166,10.032602303571633,-19.533299542358286,2026-03-20
Sui,SUI,0.965132,3769283117,30,378439418.0,-0.63755,-6.641183719017057,-0.17277935137990194,2026-03-20
Shiba Inu,SHIB,5.97e-06,3523498878,31,157982043.0,3.80905,0.6645037981554012,-8.131126060064723,2026-03-20
Cronos,CRO,0.075217,3178393284,32,9323723.0,-1.22833,-1.7397993857548624,-5.1006567813414,2026-03-20
Toncoin,TON,1.22,3008304965,33,115012307.0,-3.82183,-6.369350290507867,-14.316759027442128,2026-03-20
MemeCore,M,1.7,2971353605,34,11429885.0,-9.60156,17.68229755333346,9.603158212713002,2026-03-20
Bittensor,TAO,298.32,2849548612,35,622604621.0,17.01517,29.73004790969406,55.1164441617617,2026-03-20
Tether Gold,XAUT,4670.34,2633644532,36,1049390823.0,-1.80509,-7.902079000520604,-4.960753778078451,2026-03-20
Polkadot,DOT,1.54,2573296190,37,177512323.0,-0.19759,0.7400013051053943,13.57849946548372,2026-03-20
World Liberty Financial,WLFI,0.091929,2541740185,38,72944064.0,-4.86032,-11.972885675607687,-22.30931845731055,2026-03-20
Mantle,MNT,0.755873,2476299303,39,46257521.0,-0.92541,4.345866141059579,19.18240580245788,2026-03-20
Circle USYC,USYC,1.12,2410850692,40,223759.0,0.00921,-0.0443423513522023,0.339803770371077,2026-03-20
PAX Gold,PAXG,4680.3,2345230712,41,734491383.0,-1.73745,-8.077971718980875,-5.205284703146057,2026-03-20
Uniswap,UNI,3.6,2279745449,42,206678454.0,-0.78928,-10.136117929688828,1.5445888096623883,2026-03-20
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2012664449,43,0.0,0.0,0.0,0.0,2026-03-20
OKB,OKB,88.57,1859979525,44,23151441.0,-3.08855,-6.808444256507534,10.847525269330154,2026-03-20
Pi Network,PI,0.186185,1826977663,45,32469422.0,5.0391,-36.31045562103959,-1.6222464082791674,2026-03-20
Global Dollar,USDG,0.999852,1776352229,46,23197055.0,-0.00228,-0.02451027252430944,0.0024856500030880067,2026-03-20
Falcon USD,USDF,0.998572,1749368882,47,2797537.0,0.07785,0.1132030289868746,0.23883260145442695,2026-03-20
NEAR Protocol,NEAR,1.35,1738749486,48,173777617.0,-1.30475,-1.1520315004435295,28.420778006600926,2026-03-20
Aave,AAVE,111.64,1693976591,49,330144638.0,-2.70938,-2.072412741037533,-12.331899524327817,2026-03-20
Aster,ASTER,0.683839,1678096053,50,176945698.0,0.40509,-3.6628801780526286,-4.248793033014557,2026-03-20
