name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,65975.0,1322130387325,1,55390875083.0,-4.30608,-5.398451620725914,-1.459264618193483,2026-03-27
Ethereum,ETH,1987.41,240167168112,2,20748689067.0,-3.86217,-6.643815947892005,-0.4561166831781924,2026-03-27
Tether,USDT,0.999392,184108194820,3,83870674141.0,-0.00751,-0.041906866494332194,-0.06799169779052767,2026-03-27
BNB,BNB,609.7,83244464965,4,1108752532.0,-2.66666,-4.575134585718632,-1.387780169850239,2026-03-27
XRP,XRP,1.34,81998734710,5,2960780254.0,-1.92173,-7.061062375067421,-6.758926990826271,2026-03-27
USDC,USDC,0.999816,78094212365,6,4429649141.0,-0.00738,-0.007920182795424606,-0.015334469574788921,2026-03-27
Solana,SOL,83.38,47802935483,7,4060966217.0,-4.74226,-6.390080812961043,-2.4726129464011493,2026-03-27
TRON,TRX,0.309151,29320486813,8,662220935.0,-0.59037,0.9767766712469637,8.03545191764892,2026-03-27
Figure Heloc,FIGR_HELOC,1.023,16519192837,9,34034344.0,-0.13051,2.1126411863255163,-1.0374961469404635,2026-03-27
Dogecoin,DOGE,0.090335,13883202330,10,984284539.0,-0.7131,-3.6422459314488447,-10.111922948813051,2026-03-27
USDS,USDS,0.999758,11447555283,11,47472352.0,0.00938,-0.00770362933098068,-0.029285855286092354,2026-03-27
WhiteBIT Coin,WBT,51.24,10936321617,12,67130883.0,-3.48717,-6.6001459670172835,2.668188841185947,2026-03-27
Bitcoin Cash,BCH,466.87,9348962073,13,351342111.0,1.09513,-0.6210587409846335,-9.735602476058043,2026-03-27
Hyperliquid,HYPE,38.7,9236536914,14,253828640.0,-1.4314,-0.3869844829844062,36.71136829811564,2026-03-27
Cardano,ADA,0.247718,9141652730,15,548325476.0,-3.21332,-6.770819796161491,-13.49236553933869,2026-03-27
LEO Token,LEO,9.5,8790852696,16,692731.0,-0.46712,3.3282744193184133,8.202504507851456,2026-03-27
Chainlink,LINK,8.61,6101333309,17,396654579.0,-3.5479,-4.4204540000111185,-5.234084414307952,2026-03-27
Monero,XMR,322.78,5957333935,18,83629732.0,-0.16428,-6.102179353142296,-4.294740959151891,2026-03-27
Ethena USDe,USDE,0.999318,5904281757,19,99846018.0,0.00856,-0.033411108708047595,-0.04449903663637653,2026-03-27
Stellar,XLM,0.168945,5587243403,20,123034000.0,-2.11992,1.743757077968205,5.085682013238083,2026-03-27
Canton,CC,0.141579,5406089522,21,12541910.0,3.02979,-0.6697274522018107,-12.12392907318494,2026-03-27
USD1,USD1,0.999426,4421005977,22,1191143591.0,-0.009,0.006611638125412204,-0.03208000283616089,2026-03-27
Dai,DAI,0.999734,4333846995,23,258555697.0,-0.01387,-0.02631460462974196,0.038603858470805545,2026-03-27
Litecoin,LTC,54.33,4188314686,24,416488991.0,-0.63361,-1.966174361308251,-4.658093961974026,2026-03-27
