name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,69702.0,1394717832338,1,48677233001.0,-5.649,0.35357931055159936,2.2085864544081337,2026-03-19
Ethereum,ETH,2151.88,259941437157,2,26816983218.0,-7.20165,6.005440860276772,8.596290186187398,2026-03-19
Tether,USDT,0.999996,184091301895,3,82564073144.0,-0.00658,0.004894105854661423,0.04154691720066421,2026-03-19
XRP,XRP,1.46,89237086784,4,3246437161.0,-4.15011,6.196900340656922,-1.4277872770637463,2026-03-19
BNB,BNB,642.49,87663846060,5,1249417357.0,-4.50993,-0.26725778632900044,3.1570388321076206,2026-03-19
USDC,USDC,0.999927,79423667100,6,10863766247.0,0.00269,0.0016909697680144767,-0.0029015107602564294,2026-03-19
Solana,SOL,89.35,51090279140,7,4214295915.0,-5.04197,4.701961650976642,3.184026415528566,2026-03-19
TRON,TRX,0.303158,28724435596,8,533763265.0,0.48349,4.6321303906448525,6.667520880442917,2026-03-19
Figure Heloc,FIGR_HELOC,1.025,16241170453,9,41738342.0,-0.64354,-0.1766753999736039,0.5095892253739873,2026-03-19
Dogecoin,DOGE,0.093978,14425383145,10,1499160339.0,-5.58781,2.066601684393692,-6.07499104177011,2026-03-19
WhiteBIT Coin,WBT,55.62,11875241870,11,82779435.0,-4.05904,1.291423880936955,7.839353131364316,2026-03-19
USDS,USDS,0.999388,11556854956,12,15549111.0,-0.03673,-0.05173650294176957,0.01137502198152442,2026-03-19
Cardano,ADA,0.268565,9901925562,13,534638668.0,-6.80618,3.5671593221408076,-6.509132422149992,2026-03-19
Hyperliquid,HYPE,40.36,9621364091,14,593348732.0,-3.47148,8.543555912435423,33.475491913800035,2026-03-19
Bitcoin Cash,BCH,451.92,9044717222,15,222500443.0,-3.93356,-0.311186670458277,-19.59440788152715,2026-03-19
LEO Token,LEO,9.17,8451705807,16,1079835.0,1.15017,1.0779881320015154,7.6658998842445705,2026-03-19
Chainlink,LINK,9.09,6436602009,17,441336017.0,-7.22156,2.0318870822768464,2.179411645492466,2026-03-19
Monero,XMR,343.74,6351280514,18,104329214.0,-6.58273,-2.9552378510021944,1.8353903173410933,2026-03-19
Ethena USDe,USDE,0.999026,5916891626,19,99407834.0,-0.09011,-0.046431324066395184,-0.028018844252087224,2026-03-19
Canton,CC,0.145421,5536182335,20,11667374.0,-3.28149,-3.1671184035676765,-10.02374818409276,2026-03-19
Stellar,XLM,0.166788,5503962012,21,108340491.0,-4.52377,6.451748417266002,-0.5501864781241353,2026-03-19
USD1,USD1,0.99899,4500152780,22,1658357868.0,-0.02272,-0.025165703094741695,0.03818146813552032,2026-03-19
Dai,DAI,0.999911,4298654219,23,163061976.0,-0.07067,0.0038346373283156708,0.016080588474332448,2026-03-19
Rain,RAIN,0.00889459,4252391230,24,20724649.0,-0.86476,-0.846962492480155,-8.02134652338461,2026-03-19
Litecoin,LTC,55.1,4240467267,25,407161678.0,-4.71846,1.8682323633045255,-0.5600507699941615,2026-03-19
Avalanche,AVAX,9.52,4113115934,26,395383818.0,-7.0596,0.5500364712453281,3.911718970128382,2026-03-19
PayPal USD,PYUSD,0.999788,4089582613,27,79396260.0,-0.00351,-0.0002294683072639907,-0.020023713860979935,2026-03-19
Hedera,HBAR,0.093853,4064440491,28,92491703.0,-5.46183,0.10920946780525843,-6.687195185201948,2026-03-19
Zcash,ZEC,243.75,4048188978,29,532459124.0,-12.0271,18.927611418998644,-15.445104692073924,2026-03-19
Sui,SUI,0.961785,3752796363,30,472042426.0,-6.42725,-0.6966361829644881,-1.2017773228065354,2026-03-19
Shiba Inu,SHIB,5.73e-06,3377339669,31,168955428.0,-5.22936,0.4845220636816091,-12.25671520538251,2026-03-19
MemeCore,M,1.89,3303650223,32,15866948.0,0.32259,31.46581759530643,31.149938850278154,2026-03-19
Cronos,CRO,0.075704,3201533948,33,11684296.0,-3.67609,0.33866136409762715,-5.149647588627539,2026-03-19
Toncoin,TON,1.27,3115192188,34,123174378.0,-5.43046,-5.052392845662833,-11.952488731570178,2026-03-19
Tether Gold,XAUT,4755.92,2685672039,35,610013551.0,-4.4135,-7.299705165358128,-2.726820741221976,2026-03-19
World Liberty Financial,WLFI,0.09622,2663233599,36,68481962.0,-5.71724,-3.6336627566906103,-3.6602452292219185,2026-03-19
Polkadot,DOT,1.54,2573221374,37,216989293.0,-5.57956,2.495547173849933,12.05719889402114,2026-03-19
Mantle,MNT,0.75613,2483385459,38,101141741.0,-10.68766,8.336309458336503,18.17241288010597,2026-03-19
Bittensor,TAO,254.29,2443093314,39,305166685.0,-8.51671,25.73926507723931,30.93951206768327,2026-03-19
Circle USYC,USYC,1.12,2409486886,40,223748.0,-0.00033,-0.0541204606922715,0.3214122145882168,2026-03-19
PAX Gold,PAXG,4763.91,2388576110,41,577302874.0,-4.71696,-7.548453073728213,-2.7563682873227644,2026-03-19
Uniswap,UNI,3.61,2288239431,42,305899758.0,-8.50386,-6.269646013591538,1.1950383275260694,2026-03-19
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2012475046,43,0.0,0.0,0.0,0.0,2026-03-19
OKB,OKB,90.92,1909231976,44,25321539.0,-4.27807,-3.509771940204652,14.099031508933027,2026-03-19
Global Dollar,USDG,0.999908,1771552915,45,30172573.0,-0.00143,-0.002335161453240558,0.014164845560809007,2026-03-19
Falcon USD,USDF,0.997671,1749221901,46,1132806.0,-0.04922,0.05006207667888578,0.06640261945562956,2026-03-19
NEAR Protocol,NEAR,1.35,1746947860,47,245587886.0,-5.85214,3.811783243424168,28.567657227003224,2026-03-19
Aave,AAVE,114.28,1735558531,48,400997181.0,-5.43054,5.876237952665413,-8.209894856525981,2026-03-19
Pi Network,PI,0.176023,1721618990,49,38415401.0,1.91646,-21.81207208398557,-2.4765574441232383,2026-03-19
Aster,ASTER,0.680655,1672143827,50,254088222.0,-8.42408,-3.015365304601851,-5.299017425130257,2026-03-19
