name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,69535.0,1390867971349,1,36320547064.0,-2.94004,-1.3586258687176713,9.988897428662309,2026-03-26
Ethereum,ETH,2070.02,249896649337,2,17411737166.0,-5.42767,-5.377170898273535,13.351595491291915,2026-03-26
Tether,USDT,0.999502,184127928635,3,62357650104.0,-0.02126,-0.04598505663978901,-0.021798441568812194,2026-03-26
BNB,BNB,629.4,85842225103,4,914699463.0,-2.71397,-2.8898366642688935,6.881265514292238,2026-03-26
XRP,XRP,1.37,84282678226,5,2053068960.0,-3.68796,-6.454603520335931,3.21933910743068,2026-03-26
USDC,USDC,0.999813,78637667765,6,4553183797.0,-0.00762,-0.009231141644405133,-0.005428060549047492,2026-03-26
Solana,SOL,87.88,50293895902,7,3603384314.0,-5.08409,-2.4974775159137206,14.779265693958838,2026-03-26
TRON,TRX,0.310808,29455014731,8,532496524.0,0.35442,2.9875511197421782,10.819659784905317,2026-03-26
Figure Heloc,FIGR_HELOC,1.024,16544238058,9,27941743.0,-0.92276,-0.10939450424798146,-0.7138301340259098,2026-03-26
Dogecoin,DOGE,0.091642,14074768860,10,1140605199.0,-5.40505,-3.6047286102833214,0.6056179305355833,2026-03-26
USDS,USDS,0.999836,11683451156,11,38349834.0,-0.01889,-0.049541924872060855,-0.01058214963511561,2026-03-26
WhiteBIT Coin,WBT,53.49,11416096414,12,54951916.0,-3.217,-4.800901281758312,12.752222521567555,2026-03-26
Cardano,ADA,0.258435,9525647605,13,445021245.0,-4.7902,-4.7420835227374605,0.5626719932622269,2026-03-26
Hyperliquid,HYPE,38.99,9296666761,14,269920665.0,-4.84935,-2.07868633493065,46.829558974998,2026-03-26
Bitcoin Cash,BCH,462.33,9253082864,15,189469692.0,-3.32035,0.9691157107998168,-4.378081605520558,2026-03-26
LEO Token,LEO,9.52,8771403122,16,442168.0,0.81554,3.5321168460253225,20.007346447474177,2026-03-26
Chainlink,LINK,8.97,6354022298,17,379661325.0,-4.28024,-2.0470464011547387,9.606694078800762,2026-03-26
Monero,XMR,336.13,6198050229,18,103171796.0,-0.92373,-1.8946235104856632,5.719963725127765,2026-03-26
Ethena USDe,USDE,0.999404,5920539908,19,85681523.0,-0.01994,-0.04801990188140245,0.005541204554780441,2026-03-26
Stellar,XLM,0.173452,5727639334,20,120884217.0,-2.98574,3.555241915791708,16.140516942282527,2026-03-26
Canton,CC,0.137707,5252382397,21,12092196.0,-1.5183,-4.867114205068718,-14.548916203422518,2026-03-26
USD1,USD1,0.999348,4424221210,22,1132292047.0,-0.03279,0.022100269399659967,0.014753705652782487,2026-03-26
Dai,DAI,0.999878,4324247694,23,142327935.0,-0.00699,-0.010879482234368817,0.033111384327663605,2026-03-26
Litecoin,LTC,54.71,4212787479,24,344047361.0,-3.08021,-1.5848074664243836,7.531542013978696,2026-03-26
Rain,RAIN,0.00842191,4030069566,25,51439340.0,-1.0329,-5.75249476440359,-14.021173942625264,2026-03-26
Avalanche,AVAX,9.26,4000203511,26,239213235.0,-4.62434,-3.433041034995431,11.934179865150348,2026-03-26
MemeCore,M,2.28,3978773189,27,29492592.0,33.00545,19.835933914728358,61.16113576918286,2026-03-26
Hedera,HBAR,0.09098,3940656922,28,85993604.0,-4.57057,-3.239029245282341,-2.1279506864604585,2026-03-26
PayPal USD,PYUSD,0.999771,3917424503,29,113560116.0,-0.04277,-0.0322278111007723,-0.001306579316448446,2026-03-26
Zcash,ZEC,222.04,3692995628,30,291761075.0,-6.56073,-9.08215362308195,-4.490572432835678,2026-03-26
Sui,SUI,0.925908,3611142482,31,353157485.0,-4.09139,-3.8980517442532796,7.894019081979943,2026-03-26
Shiba Inu,SHIB,5.93e-06,3495649676,32,115486775.0,-4.15058,3.0712355566665157,0.07406206478743778,2026-03-26
Bittensor,TAO,334.44,3209773106,33,938471609.0,-6.99975,34.019327296410765,101.7728958232601,2026-03-26
Toncoin,TON,1.29,3185773399,34,77137233.0,-3.31734,3.1842796518829055,-1.9372711142761119,2026-03-26
Cronos,CRO,0.073344,3102220409,35,8694557.0,-2.92746,-3.5106705243549854,-1.0711913174145355,2026-03-26
World Liberty Financial,WLFI,0.098067,2820585279,36,62280047.0,-3.71214,1.4140336144551489,-8.62178550595707,2026-03-26
Tether Gold,XAUT,4439.29,2484179065,37,761022875.0,-2.57869,-5.403329202711127,-13.805244816213627,2026-03-26
Circle USYC,USYC,1.12,2451069442,38,2159.66,,0.017183419911536605,0.3573647104080199,2026-03-26
Mantle,MNT,0.703537,2306136725,39,49772224.0,-5.39338,-5.871509596088322,20.73960221294783,2026-03-26
