name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,67465.0,1349795784917,1,31159204563.0,1.14964,-1.5595271857217077,5.402816921392513,2026-03-30
Ethereum,ETH,2057.41,248269910859,2,14477757103.0,2.79131,0.8273504383624181,10.923450727389296,2026-03-30
Tether,USDT,0.999177,184068182353,3,50463863596.0,-0.00906,-0.04113640476241099,-0.0894253900771536,2026-03-30
BNB,BNB,617.92,84246443779,4,854730825.0,0.8244,-1.3751277552488699,3.931082646956136,2026-03-30
XRP,XRP,1.35,82700527345,5,1823777551.0,1.06495,-1.3961109692232319,4.56833596685936,2026-03-30
USDC,USDC,0.999741,77634803648,6,3775337348.0,-0.00139,-0.01346030850133878,-0.018483671984544155,2026-03-30
Solana,SOL,83.87,48011258558,7,2964335858.0,2.08821,-2.4783833478149884,6.001763325536809,2026-03-30
TRON,TRX,0.323409,30644780726,8,605933605.0,1.34966,5.372601703370223,15.835117064750989,2026-03-30
Figure Heloc,FIGR_HELOC,1.019,16560848759,9,1400009.0,,1.8704400000000065,-2.8283347422066862,2026-03-30
Dogecoin,DOGE,0.092679,14236960702,10,1085448742.0,1.96714,3.0311753168784548,4.71429206179203,2026-03-30
USDS,USDS,0.999742,11716580186,11,15450890.0,-0.00056,0.0009499936671957518,-0.007017059049965418,2026-03-30
WhiteBIT Coin,WBT,52.02,11101930273,12,61779826.0,1.20163,-3.052435181076315,8.519089106463767,2026-03-30
Cardano,ADA,0.24913,9179281845,13,438795093.0,2.44714,-0.48014621644710664,-5.38000175870769,2026-03-30
Bitcoin Cash,BCH,454.21,9087976637,14,419787086.0,-5.61257,-2.602083474983245,2.254300917149414,2026-03-30
Hyperliquid,HYPE,38.0,9053643054,15,195318352.0,-3.62589,2.7474932504368352,39.442476865704364,2026-03-30
LEO Token,LEO,9.72,8949296291,16,558253.0,0.65341,4.375651061331361,10.041770224149394,2026-03-30
Monero,XMR,337.63,6228536806,17,77576913.0,3.18137,-4.562430564866516,2.414728653073573,2026-03-30
Chainlink,LINK,8.76,6204846101,18,278583337.0,3.19198,1.3000622796679122,6.014819659746748,2026-03-30
Ethena USDe,USDE,0.998982,5876916322,19,98465746.0,-0.02987,-0.02174991285605413,-0.031177719807547147,2026-03-30
Canton,CC,0.151817,5790716660,20,6271857.0,-1.78724,4.698643096422801,-6.20572095264403,2026-03-30
Stellar,XLM,0.171434,5659424080,21,92767916.0,2.3679,9.602316581166122,15.20535138889763,2026-03-30
USD1,USD1,0.999376,4396446071,22,961500879.0,-0.03842,0.007000166158906925,-0.025163121880289532,2026-03-30
Dai,DAI,0.99997,4341889128,23,149275042.0,0.00463,0.014563956650394592,0.01089603452440787,2026-03-30
Litecoin,LTC,53.82,4145004147,24,344109661.0,0.2476,0.21864128108110673,3.933531473807248,2026-03-30
MemeCore,M,2.29,4019982021,25,19056009.0,4.47326,27.230242654342668,56.86564591635651,2026-03-30
PayPal USD,PYUSD,0.999706,3980000938,26,55608195.0,-0.00932,-0.03594508488253532,-0.03750660516771325,2026-03-30
Hedera,HBAR,0.089807,3889489876,27,53810507.0,0.70482,0.25717728807819124,-5.419762363817104,2026-03-30
