name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,price_change_30d,date
Bitcoin,BTC,70892.0,1417153862671,1,38110744837.0,2.30609,-1.0253659794012735,8.427662699091321,2026-03-25
Ethereum,ETH,2167.81,261358812630,2,18088680591.0,2.72309,-1.6232642753783253,16.386240447117146,2026-03-25
Tether,USDT,0.999615,184158614518,3,66832163490.0,0.00511,-0.04797865413342378,-0.029501591015150493,2026-03-25
BNB,BNB,645.0,87941121586,4,1054890611.0,2.58884,-0.6054621768396016,6.9151747827603085,2026-03-25
XRP,XRP,1.41,86592376290,5,2230896002.0,1.69635,-3.0882496780069006,3.3284935043655395,2026-03-25
USDC,USDC,0.999814,78681285908,6,3767524783.0,-0.00287,-0.009550324387429516,-0.019219419534870177,2026-03-25
Solana,SOL,91.82,52509263566,7,3822920959.0,3.02669,2.0567812427378827,17.999587565483,2026-03-25
TRON,TRX,0.312842,29671209254,8,441865226.0,0.88859,3.3241609881710965,10.996286606312886,2026-03-25
Figure Heloc,FIGR_HELOC,1.031,16663508031,9,34316026.0,-0.13311,-0.024322262906885852,1.4943065367016866,2026-03-25
Dogecoin,DOGE,0.096107,14754970863,10,1245793277.0,3.70728,2.332707089318634,1.7151139869223324,2026-03-25
WhiteBIT Coin,WBT,54.63,11657515709,11,55719073.0,1.70122,-3.7578179714481657,13.619672823504047,2026-03-25
USDS,USDS,1.0,11657402241,12,10212130.0,0.01613,0.017833294943158697,0.026156924706795027,2026-03-25
Cardano,ADA,0.270149,9955779377,13,487547314.0,4.17246,-0.77420247672115,1.515784896359681,2026-03-25
Hyperliquid,HYPE,40.49,9644849542,14,313646521.0,3.11081,-6.938559799707476,56.01049067365932,2026-03-25
Bitcoin Cash,BCH,476.29,9528041761,15,189751454.0,0.75108,5.217813763249084,-9.756515939005434,2026-03-25
LEO Token,LEO,9.43,8709130459,16,211591.0,-0.42081,4.07912918153938,16.628986139107237,2026-03-25
Chainlink,LINK,9.34,6617705490,17,369741321.0,3.26276,2.048911947134168,11.367513708420313,2026-03-25
Monero,XMR,347.55,6399482467,18,106384574.0,1.94758,-1.0784630481762565,12.310652290870506,2026-03-25
Ethena USDe,USDE,0.999342,5920232059,19,72076400.0,0.01358,-0.018700203318361773,0.024397637534105832,2026-03-25
Stellar,XLM,0.176786,5835109280,20,206304463.0,7.06252,5.59565542009827,16.78967076263534,2026-03-25
Canton,CC,0.142241,5426965454,21,13743005.0,1.56743,-3.005663977000203,-10.70166183706896,2026-03-25
USD1,USD1,0.999289,4411694095,22,1005344664.0,0.03561,0.0032876328477538684,0.03202852516575167,2026-03-25
Litecoin,LTC,56.36,4337148136,23,351861632.0,1.68127,1.3664721770123907,8.638117177148768,2026-03-25
Dai,DAI,0.999876,4304005741,24,151050752.0,-0.00768,0.00980429219746491,-0.03025464641727784,2026-03-25
MemeCore,M,2.42,4264945616,25,26436490.0,40.80678,30.691203440952965,74.27295995640884,2026-03-25
Rain,RAIN,0.0088653,4239660369,26,36853835.0,2.24973,-1.3887191979739584,-6.4610540654616395,2026-03-25
Avalanche,AVAX,9.66,4169395702,27,260469621.0,2.9524,0.3575668506319911,12.848562972719495,2026-03-25
Hedera,HBAR,0.094694,4097874924,28,88714456.0,2.95533,-1.2731932584687657,-0.36098754373415914,2026-03-25
PayPal USD,PYUSD,0.999753,3973041950,29,69314815.0,-0.01607,0.001004049980416873,-0.007731750860643915,2026-03-25
Zcash,ZEC,236.03,3919036091,30,431785371.0,4.66189,-4.291409577825513,-2.490573601485653,2026-03-25
Sui,SUI,0.962056,3744955105,31,371620595.0,3.36352,-1.8691588112436197,10.200535515169253,2026-03-25
Shiba Inu,SHIB,6.12e-06,3602787535,32,128287502.0,0.93938,5.857108131612102,1.936067681803251,2026-03-25
Bittensor,TAO,366.74,3525323091,33,1116106193.0,15.06216,37.18589599400403,117.71605336698863,2026-03-25
Toncoin,TON,1.33,3272710125,34,82046832.0,-0.03753,2.4368114899066082,-0.8717774211791405,2026-03-25
Cronos,CRO,0.075092,3176165452,35,9441975.0,0.46114,-1.3361633974901366,1.0053852907378626,2026-03-25
World Liberty Financial,WLFI,0.102057,2932696791,36,84436997.0,1.39734,3.264020215389231,-9.621449885059743,2026-03-25
Tether Gold,XAUT,4546.59,2545467298,37,612758105.0,3.5634,-6.613817502979592,-12.438267075883424,2026-03-25
Circle USYC,USYC,1.12,2451069442,38,2159.66,,0.02642761524587303,0.3573647104080199,2026-03-25
Mantle,MNT,0.741916,2428551652,39,42062220.0,5.68087,-5.34888805330479,28.455759250988788,2026-03-25
Uniswap,UNI,3.7,2346125532,40,217060155.0,4.61567,0.8899406741281414,10.927801684414701,2026-03-25
PAX Gold,PAXG,4554.49,2342985309,41,524405965.0,3.59508,-6.7369828009778585,-12.914937070291382,2026-03-25
Polkadot,DOT,1.38,2303006031,42,197110946.0,0.80742,-11.600758778724787,7.9534136857204025,2026-03-25
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2087615917,43,0.0,0.0,0.0,0.0,2026-03-25
Pi Network,PI,0.189155,1864466931,44,16814705.0,1.94924,10.218363379462922,18.8884162687218,2026-03-25
OKB,OKB,86.79,1822018016,45,17609002.0,1.45834,-5.247686712757269,15.949918915246105,2026-03-25
Global Dollar,USDG,0.999797,1784636550,46,38077394.0,-0.00167,-0.013233613141114943,-0.005295383364248701,2026-03-25
Falcon USD,USDF,0.998531,1748083758,47,893200.0,0.01049,0.0791173782976902,0.13010974141436238,2026-03-25
Aave,AAVE,112.86,1719214889,48,318899201.0,4.07275,-0.8720902506583426,-2.6939662805206748,2026-03-25
Sky,SKY,0.073823,1704159674,49,20110809.0,4.87923,3.4227040621021403,18.342913638237373,2026-03-25
NEAR Protocol,NEAR,1.28,1651057490,50,171595894.0,-0.03975,-7.377700361540364,31.1536252803354,2026-03-25
